GEOID,UERPCTCHG,PCIPCTCHG,POVPCTCHG
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
a,a,a,a
17031440300,-1.6,10.6,1.8
17031440600,15.8,-6.6,7
17031440700,3.3,-0.3,-7.4
17031440800,9.1,-26.2,6.8
17031440900,2.8,-4.1,16
17031450300,12.4,-6.6,-0.3
17031460100,8.6,-5.8,11.5
17031460200,6.7,28.6,8.8
17031460301,5.3,31.7,-1.3
17031460302,12.8,9.1,-2.4
17031460400,3.4,-0.3,6.6
17031460500,-1.5,-7.4,-4.5
17031460600,-3.8,34.1,-23.7
17031460700,13.9,28.5,-7.9
17031461000,7,-16.5,19.4
17031470100,-5,14.3,1.3
17031480100,1.3,-5,-3.3
17031480200,4.2,-23.8,13
17031480300,10,40.9,6
17031480400,-8.6,-22.3,0.6
17031480500,-0.9,-19.5,3.4
17031490300,3.3,-5.8,1.5
17031490400,-1.3,28.1,-22.2
17031490500,-0.7,16.8,9.6
17031490600,10.8,4.7,1
17031490700,14.9,2.3,8.4
17031490800,8.7,-6.4,22.3
17031490901,5,18.6,-0.4
17031490902,5.9,2.1,-1.6
17031491000,4.3,-2,9.9
17031491100,-1.4,36,-5.8
17031491200,9.6,2.2,24
17031491300,22.4,-28.2,24.5
17031491400,23.1,-12,10.1
17031500100,-4.5,8.8,5.8
17031500200,-5,47.8,-7.1
17031500300,0.4,11.2,-3.6
17031510100,6.3,12.1,-2.6
17031510200,10.6,26.8,-9
17031510300,18.2,-11.9,4.5
17031520100,-0.2,-4.9,-2.6
17031520200,2.3,14.5,-11.4
17031520300,15.2,15.3,9.5
17031520400,0.9,44.9,-15.3
17031520500,-2.5,20,2.6
17031520600,-1.2,-14.8,12
17031530100,-0.6,-3.5,2.7
17031530200,2.6,24.3,2.7
17031530300,7,3.7,2.2
17031530400,6.7,16,-5.7
17031530501,7.6,24.2,-3.9
17031530502,21.2,-23,20.7
17031530503,18.4,-14.3,17.5
17031530600,3.1,0.4,14.8
17031540101,17.1,-24.2,10.9
17031540102,5.6,22.9,2
17031550100,-4.3,26.7,7.4
17031550200,-0.2,26.4,-6.4
17031560100,0.9,2.2,-6.8
17031560200,-0.3,45.5,-17.4
17031560300,6.1,-5.6,4.4
17031560400,-6.7,-30.9,6.2
17031560700,6.2,8.3,-7.7
17031560800,3.8,4.4,-0.2
17031560900,-0.8,17.7,3.6
17031561000,2.8,36.9,-1.8
17031561100,1.7,-1.6,-1.6
17031570100,-5.4,24.2,6.9
17031570200,10.3,7.1,11
17031570300,-7.2,2.6,10.6
17031570400,1.2,13.5,-1.5
17031570500,-9.8,25.6,-7.2
17031580100,4.8,-1,-2.2
17031580200,0.1,2,0.3
17031580300,8,33,6.1
17031580400,-13.3,8.8,-3.8
17031580501,3,31.6,2.1
17031580502,-2.6,13.9,7.1
17031580600,6.9,48.1,-5.2
17031580700,0.3,3.6,0.7
17031580800,13.5,-6.8,16.8
17031590500,3.8,9.8,23.7
17031590600,3.8,-6.9,6.4
17031590700,-1.9,-8.9,16.5
17031600400,-3.2,4.1,12.5
17031600600,-5.9,-18.1,6
17031600700,3.4,20.1,-0.4
17031600900,1.7,12.7,-14.3
17031610300,4.2,16,-11.7
17031610400,11.2,-14.2,24.3
17031610800,1.6,-29,12.3
17031611000,-6.1,58.4,-35.1
17031611100,12.9,10.7,1.4
17031611200,13.9,-24.2,11.3
17031611300,0.4,23.3,-0.3
17031611400,-7.7,28.5,-4.1
17031611500,1.4,8,7.7
17031611600,4.1,-16.6,9.6
17031611700,-4.8,28.2,-12.9
17031611800,16.4,-12.8,22.2
17031611900,-0.2,18.3,-1.1
17031612000,-7.6,45.4,-17.4
17031612100,13.8,-4.8,-1.1
17031620100,0.2,-6.4,7.2
17031620200,-3.3,14.1,0.9
17031620300,3.3,-6.2,-0.6
17031620400,-7.6,14,3
17031630100,0.1,13.1,-15
17031630200,2.8,-20.9,0
17031630300,1.4,7.4,-3.8
17031630400,3.5,-6.7,-1.6
17031630500,-6.6,25.5,1.5
17031630800,1.6,1.6,-2.7
17031630900,-2.3,17.5,0.7
17031640100,-2.6,30.3,3.3
17031640300,-3.6,13.7,-3.6
17031640400,-1.4,-0.5,4.2
17031640500,-0.8,20,-3.7
17031640600,4.2,-13.2,19.5
17031640700,6.3,-1.2,15.9
17031640800,8,-8,4.8
17031650100,-1.1,19.4,0
17031650200,7,2.6,8
17031650301,10.3,11.4,-5.9
17031650302,0,18.8,-3.7
17031650400,9.3,24.9,-14.1
17031650500,4.4,2.5,2.5
17031660301,22.3,-5,11.6
17031660302,2.8,-6.8,16.9
17031660400,-2.8,16.1,-6.4
17031660500,3.7,-12,10.3
17031660600,15.5,-4.1,6.9
17031660700,9.9,-14,9.9
17031660800,9.8,14.2,-1.7
17031660900,18.4,5.2,9
17031661000,13.6,-10.8,6
17031661100,10.1,-16.8,11.3
17031670100,4.3,-2.4,2.5
17031670200,-46.6,134.5,11.2
17031670300,-14.2,54.4,-26.6
17031670400,-14.5,97.4,-21.7
17031670500,10.7,29,14
17031670600,19,10.1,-0.1
17031670700,-14.9,32.6,-31.8
17031670800,6.6,-6.9,21
17031670900,5.1,3.5,-2.5
17031671100,-12,18.7,12.8
17031671200,32,21.7,24.2
17031671300,5.6,21.3,-31.3
17031671400,23.5,-13.4,20.8
17031671500,-3,7.4,11.5
17031671600,-12.3,25.9,-16.4
17031671800,-13,121.5,-7.2
17031671900,0.2,8.5,4.7
17031672000,5.5,32.9,-16
17031680500,35.5,-14.3,20.4
17031680600,2.4,-7.9,-2
17031680900,8.8,0.1,-5.2
17031681000,5.2,51.9,4.4
17031681100,21.3,-32.3,14.6
17031681200,13.2,52.3,-15.8
17031681300,13.9,-16.2,-3.9
17031681400,8.8,-4,-19.3
17031690300,5.5,-24.8,-1.3
17031690400,-7.1,-1.4,11.2
17031690500,4.8,20.1,22.9
17031690900,13.7,-9.5,4.7
17031691000,3.7,16.5,2.2
17031691100,-5.6,24.7,-0.4
17031691200,-2.5,-37.3,18.1
17031691300,18,-16.4,16.9
17031691400,-0.2,-21.6,6.5
17031691500,10.8,10.8,-3
17031700100,-1.2,36.5,2.4
17031700200,3.5,6.4,-7.3
17031700301,5,-8,10.9
17031700302,5.5,8.4,-7.2
17031700401,2.6,22.3,5.1
17031700402,10.9,-7.9,10.1
17031700501,1.1,7.8,-0.1
17031700502,5.9,-0.6,1.6
17031710100,-4.5,61.8,-3.4
17031710200,2.1,-12.4,-4.8
17031710300,-9.3,41.5,4
17031710400,8.1,21.8,-0.3
17031710500,-2.6,-9.4,1.9
17031710600,5.2,11.3,-8.4
17031710700,-1,20.9,4.3
17031710800,-12,15,2.6
17031710900,27.4,-19.8,15.8
17031711000,-1.5,-7.6,4.6
17031711100,-4.3,110.4,-28.5
17031711200,-2.6,-7.3,9.8
17031711300,3.9,6.5,-10.1
17031711400,-0.2,-17.6,11.5
17031711500,-11.5,-1.8,21.6
17031720100,1.9,0.1,0.2
17031720200,-4.3,23.8,-1.6
