CG_GEOID,GEOID,GENT_IDX,UERPCTCHG,PCIPCTCHG,POVPCTCHG,2016_POP,2010_POP,POPPCTCHG,2016_BLACK,2010_BLACK,BLKPCTCHG,2016_ASIAN,2010_ASIAN,ASNPCTCHG,2016_HISP,2010_HISP,HSPPCTCHG,2016_WHITE,2010_WHITE,WHTPCTCHG,2016_HS,2016_PCTHS,2010_HS,2010_PCTHS,HSPCTCHG,2016_POSTHS,2016_PCTPOSTHS,2010_POSTHS,2010_PCTPOSTHS,PHSPCTCHG,2016_INHU,2016_PCTHMLS,2010_INHU,2010_PCTHMLS,2016_OWNERHU,2010_OWNERHU,2016_RENT,2010_RENT,ORRPCTCHG
CG17031030101,17031030101,0.599625,-4.1,1.8,-7.6,3547,3727,-4.8,784,851,-7.9,194,532,-63.5,664,796,-16.6,1773,1511,17.3,616,17.4,744,20,-2.6,2526,71.2,1729,46.4,24.8,3528,0.5,3727,0,1147,1588,2381,2139,54.1
CG17031030102,17031030102,0.494375,0,15.2,-11.3,2873,3120,-7.9,665,733,-9.3,241,485,-50.3,321,281,14.2,1518,1500,1.2,620,21.6,662,21.2,0.4,1969,68.5,1522,48.8,19.7,2806,2.3,3120,0,1145,1323,1661,1797,6.8
CG17031030103,17031030103,0.45375,1.4,12,-20.4,2313,1582,46.2,362,370,-2.2,452,212,113.2,346,134,158.2,1136,758,49.9,372,16.1,218,13.8,2.3,1082,46.8,749,47.3,-0.5,1730,25.2,1582,0,481,450,1249,1132,3.2
CG17031030104,17031030104,0.602625,0.4,95.9,-2.7,3484,4130,-15.6,396,677,-41.5,711,516,37.8,406,229,77.3,1835,2391,-23.3,476,13.7,513,12.4,1.3,1027,29.5,801,19.4,10.1,1820,47.8,2076,49.7,482,771,1338,1305,64
CG17031030200,17031030200,0.408875,-4.2,17.6,5.3,5127,5718,-10.3,276,632,-56.3,249,346,-28,901,664,35.7,3676,3860,-4.8,749,14.6,580,10.1,4.5,3128,61,2715,47.5,13.5,5070,1.1,5663,1,2807,2760,2263,2903,-23.4
CG17031030300,17031030300,0.490125,0.8,2.5,2.1,3144,2716,15.8,290,162,79,394,302,30.5,1209,1013,19.3,1170,1171,-0.1,1017,32.3,872,32.1,0.2,1422,45.2,1042,38.4,6.8,3144,0,2716,0,1151,802,1993,1914,-27.4
CG17031030400,17031030400,0.3465,6.2,-8.5,15.8,2535,2659,-4.7,291,283,2.8,166,209,-20.6,774,616,25.6,1240,1476,-16,494,19.5,449,16.9,2.6,1467,57.9,1269,47.7,10.2,2535,0,2659,0,1012,1165,1523,1494,17.4
CG17031030500,17031030500,0.697875,-5.3,35.9,-0.8,6393,6676,-4.2,227,465,-51.2,538,608,-11.5,1784,1863,-4.2,3723,3546,5,1267,19.8,1367,20.5,-0.7,3825,59.8,2832,42.4,17.4,6267,2,6408,4,2432,3099,3835,3309,47.7
CG17031030601,17031030601,0.6455,-3.9,-9.5,-4.3,3989,3449,15.7,831,808,2.8,519,532,-2.4,589,404,45.8,1977,1588,24.5,1008,25.3,907,26.3,-1,2130,53.4,1530,44.4,9,3793,4.9,3277,5,1172,1295,2621,1982,46.1
CG17031030603,17031030603,0.395,-6.5,10.5,17.5,1938,2053,-5.6,720,808,-10.9,195,174,12.1,224,145,54.5,695,909,-23.5,463,23.9,247,12,11.9,1090,56.2,1435,69.9,-13.7,1938,0,2053,0,161,203,1777,1850,21.1
CG17031030604,17031030604,0.439125,-3.6,-2.3,4.5,2918,2996,-2.6,530,750,-29.3,800,715,11.9,98,77,27.3,1401,1368,2.4,554,19,454,15.2,3.8,1985,68,1597,53.3,14.7,2913,0.2,2996,0,649,809,2264,2187,29
CG17031030701,17031030701,0.749125,-6.6,14.9,-8.5,1595,2061,-22.6,380,547,-30.5,262,281,-6.8,180,162,11.1,757,1049,-27.8,375,23.5,638,31,-7.5,1037,65,894,43.4,21.6,1388,13,1383,32.9,254,359,1134,1024,56.5
CG17031030702,17031030702,0.616,4.4,12.1,7.7,1572,1654,-5,119,0,UNDEF,351,423,-17,45,101,-55.4,1035,1130,-8.4,118,7.5,301,18.2,-10.7,1341,85.3,856,51.8,33.5,1572,0,1654,0,917,1253,655,401,123.2
CG17031030703,17031030703,0.590375,-2.4,6.1,-1.7,2702,2671,1.2,487,519,-6.2,120,288,-58.3,405,164,147,1539,1704,-9.7,427,15.8,573,21.5,-5.7,1841,68.1,1396,52.3,15.8,2697,0.2,2671,0,839,878,1858,1793,8.4
CG17031030706,17031030706,0.481375,-0.6,-5,11.7,3464,3233,7.1,620,490,26.5,587,536,9.5,209,365,-42.7,1974,1819,8.5,939,27.1,718,22.2,4.9,2238,64.6,1605,49.6,15,3464,0,3233,0,1190,1301,2274,1932,28.7
CG17031030800,17031030800,0.404375,1,-4.6,-7,4170,4323,-3.5,197,15,1213.3,383,504,-24,304,367,-17.2,3064,3380,-9.3,561,13.5,490,11.3,2.2,2833,67.9,1938,44.8,23.1,3998,4.1,4323,0,2069,2021,1929,2302,-18.1
CG17031030900,17031030900,0.740875,-1.2,34.8,-2.3,2999,2975,0.8,365,163,123.9,276,288,-4.2,487,495,-1.6,1847,1967,-6.1,471,15.7,507,17,-1.3,2109,70.3,1528,51.4,18.9,2995,0.1,2861,3.8,1109,1640,1886,1221,128.4
CG17031031000,17031031000,0.79275,-0.4,37.1,-9.1,3935,3359,17.1,155,133,16.5,332,132,151.5,577,961,-40,2718,2083,30.5,470,11.9,651,19.4,-7.5,2703,68.7,1549,46.1,22.6,3918,0.4,3291,2,1678,1418,2240,1873,1.1
CG17031031100,17031031100,0.51325,3,21.8,0.3,4356,4451,-2.1,184,109,68.8,402,958,-58,802,951,-15.7,2868,2312,24,905,20.8,1129,25.4,-4.6,2892,66.4,1969,44.2,22.2,4269,2,4451,0,1141,1247,3128,3204,6.7
CG17031031200,17031031200,0.643,-5.7,52.4,-10.7,5597,5920,-5.5,1361,1858,-26.7,913,1164,-21.6,615,770,-20.1,2557,1835,39.3,1964,35.1,2327,39.3,-4.2,2495,44.6,1885,31.8,12.8,5315,5,5647,4.6,1190,1416,4125,4231,16
CG17031031300,17031031300,0.72775,-1.4,5.6,-2.3,7800,6544,19.2,2353,1212,94.1,1580,1587,-0.4,651,575,13.2,3186,3010,5.8,1977,25.3,2020,30.9,-5.6,4288,55,2568,39.2,15.8,7233,7.3,5909,9.7,2086,2047,5147,3862,30.8
CG17031031400,17031031400,0.475875,-0.3,-4,0.5,4959,4932,0.5,534,350,52.6,351,427,-17.8,484,362,33.7,3388,3733,-9.2,543,10.9,500,10.1,0.8,3908,78.8,2636,53.4,25.4,4658,6.1,4743,3.8,2647,3166,2011,1577,52.5
CG17031031501,17031031501,0.59925,2.2,24.2,-3.1,4083,4543,-10.1,1321,1401,-5.7,778,1123,-30.7,322,686,-53.1,1532,1275,20.2,1228,30.1,1904,41.9,-11.8,1909,46.8,1306,28.7,18.1,3432,15.9,3820,15.9,525,382,2907,3438,-38.5
CG17031031502,17031031502,0.486625,7.2,10.4,-5.9,3998,4942,-19.1,1661,2220,-25.2,323,337,-4.2,726,864,-16,1219,1487,-18,1136,28.4,1339,27.1,1.3,1825,45.6,1989,40.2,5.4,3998,0,4685,5.2,367,612,3631,4073,48.7
CG17031031700,17031031700,0.569125,3.6,13,7.5,6843,6769,1.1,1711,1345,27.2,338,529,-36.1,1073,1159,-7.4,3526,3739,-5.7,1386,20.3,1841,27.2,-6.9,3934,57.5,2791,41.2,16.3,6713,1.9,6608,2.4,1770,1961,4943,4647,17.8
CG17031031800,17031031800,0.4985,2.2,-1.1,-1.3,1727,1802,-4.2,39,38,2.6,149,138,8,314,221,42.1,1216,1403,-13.3,305,17.7,163,9,8.7,1106,64,937,52,12,1722,0.3,1773,1.6,670,916,1052,857,67.8
CG17031031900,17031031900,0.4235,-0.3,0.8,1.7,2318,2271,2.1,47,224,-79,154,181,-14.9,398,374,6.4,1682,1460,15.2,356,15.4,351,15.5,-0.1,1568,67.6,1191,52.4,15.2,2302,0.7,2271,0,911,792,1391,1479,-18.2
CG17031032100,17031032100,0.538,1.4,32,-4,6603,6997,-5.6,538,991,-45.7,244,506,-51.8,974,1143,-14.8,4646,4320,7.5,1058,16,1414,20.2,-4.2,4457,67.5,3042,43.5,24,6463,2.1,6902,1.4,1850,1650,4613,5252,-21.7
CG17031040100,17031040100,0.673125,-3,17.8,3.2,3914,4110,-4.8,187,195,-4.1,191,326,-41.4,785,780,0.6,2708,2624,3.2,664,17,1105,26.9,-9.9,2300,58.8,1651,40.2,18.6,3702,5.4,3857,6.2,1779,2169,1923,1688,38.9
